Cross,Delayed Out,Power / Trey,Fill the Pulling Gap
A-Near / Zug Z-Flip,Cross,Power A div,Lead Block the Gap
Zug A-Bump,Go ,Power PS,2nd lead Block
Boot L Flood,behind OL to Flat,Trey Div,follow as 3rd Block
A Secure,Block with RT,Trey PS,Lead block Rb
Fold 3x1 / Spacing,Tab,Shallow Cross,Shallow Cross
Run,Out Block first color,Zug A Bump,Go
2x2 / RPO,Shoot,Lu I Off A Cross,Through Gap Cross 
Lu Glance (Arrow),Wheel,Lu Smash/Right Flood,Corner
A Near / Z Flip ,delay Flat,Zug ,5 Out
Zug A Bump ,Slant,Zug A Bump ,Hitch 
ISO ,Find PS Hole and Kill,Stick,delay 5 Out
Inside / Out Zone I ,Block BS End,A Near (+Bump),Stick
Inside Zone,Block an area,*Bump / I Off / ZG ,5 Out (*Angle Out)
Zug O Zone Bump,Just Something,Zug A Bump ,10 Dig
T-Jet Sweep,Block  End,Swing Screen,Lead block Rb
A Bump Short Jet,Handoff Bubble,Trap,Block PS End
Z-Jet Sweep,Leadblock Z,I (Off) A Trap,Wait on LG A Power
,,,
